Name,Description
Commercial Airplane Design Principles,Engineering 2014
Biofilms in Infection Prevention and Control,Immunology and Microbiology 2014
Dream Science,Psychology 2014
Nutraceutical and Functional Food Regulations in the United States and Around the World (Second Edition),"Agricultural, Biological, and Food Sciences 2014"
Seeds (Second Edition),"Agricultural, Biological, and Food Sciences 2014"
Conceptual Breakthroughs in Evolutionary Genetics,"Agricultural, Biological, and Food Sciences 2014"
Oxidative Damage to Plants,"Agricultural, Biological, and Food Sciences 2014"
Evolution by Tumor Neofunctionalization,"Agricultural, Biological, and Food Sciences 2014"
Cancer,"Biochemistry, Genetics and Molecular Biology 2014"
Aging: Oxidative Stress and Dietary Antioxidants,"Biochemistry, Genetics and Molecular Biology 2014"
Cellular Endocrinology in Health and Disease,"Biochemistry, Genetics and Molecular Biology 2014"
Fluorescence Microscopy,"Biochemistry, Genetics and Molecular Biology 2014"
Nutrition in the Prevention and Treatment of Abdominal Obesity,Biomedical Science and Medicine 2014
Mesenchymal Stem Cells in Cancer Therapy,Biomedical Science and Medicine 2014
Erectile Dysfunction As a Cardiovascular Impairment,Biomedical Science and Medicine 2014
Equitable Solutions for Retaining a Robust STEM Workforce,Biomedical Science and Medicine 2014
Black Liquor Gasification,Chemical Engineering 2014
"Plan, Activity, and Intent Recognition",Computer Science 2014
Design of Experiments for Engineers and Scientists (Second Edition),Engineering 2014
Manufacturing and Design,Engineering 2014
Design of Modern Communication Networks,Engineering 2014
Speech Enhancement,Engineering 2014
Co-Operative and Energy Efficient Body Area and Wireless Sensor Networks for Healthcare Applications,Engineering 2014
Academic Press Library in Biomedical Applications of Mobile and Wireless Communications: Wireless UWB Body Area Networks,Engineering 2014
Offshore Safety Management (Second Edition),Engineering 2014
Solid Waste Recycling and Processing (Second Edition),Engineering 2014
Forensic Document Examination,"Forensics, Security, and Criminal Justice 2014"
The Science and Technology of Counterterrorism,"Forensics, Security, and Criminal Justice 2014"
Security Leadership of the Future,"Forensics, Security, and Criminal Justice 2014"
Approaches to Research on the Systematics of Fish-Borne Trematodes,Immunology and Microbiology 2014
Xylanolytic Enzymes,Immunology and Microbiology 2014
"Human Herpesviruses HHV-6A, HHV-6B & HHV-7 (Third Edition)",Immunology and Microbiology 2014
Toolkit for Working with Juvenile Sex Offenders,Psychology 2014
Creativity (Second Edition),Psychology 2014
Education for Innovation and Independent Learning,Psychology 2014
Geology of the China Seas,Earth and Planetary Sciences 2014
Nanomagnetism: Fundamentals and Applications,Materials Science 2014
Social Predation,"Agricultural, Biological, and Food Sciences 2014"
Light and Video Microscopy (Second Edition),"Agricultural, Biological, and Food Sciences 2014"
Corn and Grain Sorghum Comparison,"Agricultural, Biological, and Food Sciences 2014"
"Clinical Chemistry, Immunology and Laboratory Quality Control","Biochemistry, Genetics and Molecular Biology 2014"
Essentials of Stem Cell Biology (Third Edition),"Biochemistry, Genetics and Molecular Biology 2014"
A Practical Guide to Writing a Ruth L. Kirschstein NRSA Grant,Biomedical Science and Medicine 2014
Lithium-Ion Batteries,Chemical Engineering 2014
Bioenergy Research: Advances and Applications,Chemical Engineering 2014
Open-Source Lab,Chemistry 2014
Thermodynamics (Fourth Edition),Chemistry 2014
Information Management,Computer Science 2014
Applied Network Security Monitoring,Computer Science 2014
The Basics of Digital Privacy,Computer Science 2014
"Handbook of Energy: Chronologies, Top Ten Lists, and Word Clouds",Energy 2014
Combustion Ash Residue Management (Second Edition),Energy 2014
Gasification of Unconventional Feedstocks,Energy 2014
Materials and Design (Third Edition),Engineering 2014
Clinical Engineering,Engineering 2014
Advances in Intelligent Vehicles,Engineering 2014
Fluid-Structure Interactions  (Second Edition),Engineering 2014
Computational Methods in Engineering,Engineering 2014
4G: LTE/LTE-Advanced for Mobile Broadband (Second Edition),Engineering 2014
Advanced Theory of Constraint and Motion Analysis for Robot Mechanisms,Engineering 2014
The Effect of Long Term Thermal Exposure on Plastics and Elastomers,Engineering 2014
Future Energy (Second Edition),Environmental Science 2014
Credibility Assessment,"Forensics, Security, and Criminal Justice 2014"
Crime Scene Investigation Laboratory Manual,"Forensics, Security, and Criminal Justice 2014"
Cloud Storage Forensics,"Forensics, Security, and Criminal Justice 2014"
Plant Virus–Host Interaction,Immunology and Microbiology 2014
The Flagellar World,Immunology and Microbiology 2014
Primer on Flat Rolling (Second Edition),Materials Science 2014
Introduction to Probability Models (Eleventh Edition),Mathematics 2014
Diffusion MRI (Second Edition),Neuroscience 2014
Cognitive Electrophysiology of Attention,Neuroscience 2014
Magnetic Resonance Spectroscopy,Neuroscience 2014
The Claustrum,Neuroscience 2014
The Effects of Drug Abuse on the Human Nervous System,Neuroscience 2014
Toxicogenomics-Based Cellular Models,"Pharmacology, Toxicology and Pharmaceutical Science 2014"
"Emerging Technologies and Management of Crop Stress Tolerance, Volume 2","Agricultural, Biological, and Food Sciences 2014"
Transgenerational Epigenetics,"Biochemistry, Genetics and Molecular Biology 2014"
The Biological Action of Physical Medicine,Biomedical Science and Medicine 2014
Microwave-Assisted Sample Preparation for Trace Element Analysis,Chemistry 2014
Education and Training for the Oil and Gas Industry,Earth and Planetary Sciences 2014
High Acid Crudes,Energy 2014
Surface Modification by Solid State Processing,Engineering 2014
Preparing for Next Generation Security Leader Opportunities,"Forensics, Security, and Criminal Justice 2014"
Developing a Comprehensive Security Program,"Forensics, Security, and Criminal Justice 2014"
Handbook of Recycling,Materials Science 2014
Precious Metals for Biomedical Applications,Materials Science 2014
Neurobiology of Alcohol Dependence,Neuroscience 2014
"{Strategies and Tactics in Organic Synthesis, Volume 10}",Chemistry 2014
Cloud Dynamics,Earth and Planetary Sciences 2014
Neurovirology,Neuroscience 2014
A Complete Guide to Quality in Small-Scale Wine Making,"Agricultural, Biological, and Food Sciences 2014"
"{Studies in Natural Products Chemistry, Volume 41}",Chemistry 2014
Diet-Microbe Interactions in the Gut,Biomedical Science and Medicine 2014
Diet and Exercise in Cystic Fibrosis,Biomedical Science and Medicine 2014
Relating System Quality and Software Architecture,Computer Science 2014
"Surface Production Operations (Third Edition), Volume 2",Engineering 2014
Thermal Energy Storage Technologies for Sustainability,Engineering 2014
Self-Sensing Concrete in Smart Structures,Engineering 2014
Structural Alloys for Power Plants,Engineering 2014
Protective Clothing,Engineering 2014
Fundamentals of Air Pollution (Fifth Edition),Environmental Science 2014
"Current Laboratory Techniques in Rabies Diagnosis, Research and Prevention",Immunology and Microbiology 2014
The Biology and Identification of the Coccidia (Apicomplexa) of Turtles of the World,Immunology and Microbiology 2014
Bone Substitute Biomaterials,Materials Science 2014
Handbook on the Toxicology of Metals (Fourth Edition),"Pharmacology, Toxicology and Pharmaceutical Science 2014"
Clinical Cases in Tropical Medicine,Specialty Medicine 2014
Ocular Pathology (Seventh Edition),Specialty Medicine 2014
Wine Science (Fourth Edition),"Agricultural, Biological, and Food Sciences 2014"
Processing and Impact on Active Components in Food,"Agricultural, Biological, and Food Sciences 2014"
The Future of Energy,Energy 2014
Combustion of Pulverised Coal in a Mixture of Oxygen and Recycled Flue Gas,Engineering 2014
Finite Element Analysis and Design of Steel and Steel-Concrete Composite Bridges,Engineering 2014
Handbook of Thermoplastic Elastomers (Second Edition),Engineering 2014
Handbook of Fire and Explosion Protection Engineering Principles (Third Edition),Engineering 2014
Micro- and Nanoengineering of the Cell Surface,Engineering 2014
Handbook of Asian Finance: Financial Markets and Sovereign Wealth Funds,Finance 2014
"Handbook of Asian Finance: REITs, Trading, and Fund Performance",Finance 2014
Troubleshooting Rubber Problems,Plastics Engineering Hanser 2014
Laborwerte (6. Auflage),German Medical Collection 2014
Klinikleitfaden Kardiologie (5. Auflage),German Medical Collection 2014
Klinikleitfaden Innere Medizin (12. Auflage),German Medical Collection 2014
CBASP in der Praxis,German Medical Collection 2014
Praxisleitfaden Allgemeinmedizin (7. Auflage),German Medical Collection 2014
Klinikleitfaden Orthopädie Unfallchirurgie (7. Auflage),German Medical Collection 2014
Klinikleitfaden Psychiatrie Psychotherapie (5. Auflage),German Medical Collection 2014
Facharztprüfung Allgemeinmedizin (4. Auflage),German Medical Collection 2014
Facharztprüfung Innere Medizin (4. Auflage),German Medical Collection 2014
Osteopathie und Rückenschmerz,German Medical Collection 2014
Electroporation-Based Therapies for Cancer,"Biochemistry, Genetics and Molecular Biology 2014"
"{Studies in Natural Products Chemistry, Volume 42}",Chemistry 2014
Multiple Sclerosis and Related Disorders,Neuroscience 2014
Hydrothermal and Supercritical Water Processes,Chemical Engineering 2014
Ecological Modelling and Engineering of Lakes and Wetlands,Environmental Science 2014
Notarzt-Leitfaden (7. Auflage),German Medical Collection 2014
Internistische Therapie (20. Auflage),German Medical Collection 2014
Ernährungsmedizin und Diätetik (12. Auflage),German Medical Collection 2014
Leitfaden Akupunktur (2. Auflage),German Medical Collection 2014
Microencapsulation in the Food Industry,"Agricultural, Biological, and Food Sciences 2014"
Adapting High Hydrostatic Pressure for Food Processing Operations,"Agricultural, Biological, and Food Sciences 2014"
Distillation: Equipment and Processes,Chemical Engineering 2014
Distributed Generation and its Implications for the Utility Industry,Energy 2014
"Internal Combustion Engines: Performance, Fuel Economy and Emissions: IMechE, London, 27–28 November 2013",Engineering 2014
Vertical Flow Constructed Wetlands,Environmental Science 2014
"Food Structures, Digestion and Health","Agricultural, Biological, and Food Sciences 2014"
Health Communication in Traditional Chinese Medicine,Biomedical Science and Medicine 2014
Rotating Electrode Methods and Oxygen Reduction Electrocatalysts,Chemical Engineering 2014
Knowledge-Based Configuration,Computer Science 2014
Volcanic Gas Reservoir Characterization,Energy 2014
Fermentation and Biochemical Engineering Handbook (Third Edition),Engineering 2014
Mathematical Analysis Fundamentals,Mathematics 2014
How to Improve Rubber Compounds (Second Edition),Plastics Engineering Hanser 2014
Cognitive Neuroscience and Psychotherapy,Psychology 2014
Developments in the Theory and Practice of Cybercartography,Earth and Planetary Sciences 2014
The Social Dog,"Agricultural, Biological, and Food Sciences 2014"
Hypobaric Storage in Food Industry,"Agricultural, Biological, and Food Sciences 2014"
Evolution,"Agricultural, Biological, and Food Sciences 2014"
Handbook of Pharmacogenomics and Stratified Medicine,"Biochemistry, Genetics and Molecular Biology 2014"
Advanced Clinical Therapies in Cardiovascular Chinese Medicine,Biomedical Science and Medicine 2014
Organic Chemistry Concepts and Applications for Medicinal Chemistry,Chemistry 2014
Modeling Enterprise Architecture with TOGAF,Computer Science 2014
Business Process Change (Third Edition),Computer Science 2014
"Solar Energy, Photovoltaics, and Domestic Hot Water..",Energy 2014
Advances in Biorefineries,Energy 2014
Effect of Temperature and Other Factors on Plastics and Elastomers (Third Edition),Engineering 2014
"Sensor Technologies for Civil Infrastructures, Volume 1",Engineering 2014
Hypersingular Integral Equations in Fracture Analysis,Engineering 2014
Environmental Noise Pollution,Environmental Science 2014
Clinical Anatomy of the Cranial Nerves,Neuroscience 2014
"Basic Molecular Protocols in Neuroscience: Tips, Tricks, and Pitfalls",Neuroscience 2014
Clinician's Guide to Engaging Parents in their Children's Education,Psychology 2014
From Knowledge Abstraction to Management,Social Sciences 2014
Guide to Food Safety and Quality During Transportation,"Agricultural, Biological, and Food Sciences 2014"
Extracellular Glycolipids of Yeasts,"Biochemistry, Genetics and Molecular Biology 2014"
Cellular and Molecular Pathobiology of Cardiovascular Disease,Biomedical Science and Medicine 2014
Nonequilibrium Thermodynamics (Third Edition),Chemical Engineering 2014
Supercritical Fluid Technology for Energy and Environmental Applications,Chemical Engineering 2014
Designing with the Mind in Mind (Second Edition),Computer Science 2014
Freemium Economics,Computer Science 2014
Efficient Computation of Argumentation Semantics,Engineering 2014
The Independence of Credit Rating Agencies,Finance 2014
Emerging Markets and the Global Economy,Finance 2014
Surveillance and Threat Detection,"Forensics, Security, and Criminal Justice 2014"
The Art of Investigative Interviewing (Third Edition),"Forensics, Security, and Criminal Justice 2014"
Forensic Anthropology,"Forensics, Security, and Criminal Justice 2014"
Restoring Justice (Fifth Edition),"Forensics, Security, and Criminal Justice 2014"
"Neuronal Networks in Brain Function, CNS Disorders, and Therapeutics",Neuroscience 2014
Understanding Satellite Navigation,Engineering 2014
Concrete and Masonry Movements,Engineering 2014
The Effect of Creep and Other Time Related Factors on Plastics and Elastomers (Third Edition),Engineering 2014
Measuring and Managing Information Risk,"Forensics, Security, and Criminal Justice 2014"
Online Security for the Business Traveler,"Forensics, Security, and Criminal Justice 2014"
The Handbook for School Safety and Security,"Forensics, Security, and Criminal Justice 2014"
Security Leader Insights for Risk Management,"Forensics, Security, and Criminal Justice 2014"
DNA and Property Crime Scene Investigation,"Forensics, Security, and Criminal Justice 2014"
Graduate Study in Criminology and Criminal Justice,"Forensics, Security, and Criminal Justice 2014"
High Performance Textiles and their Applications,Materials Science 2014
Introductory Differential Equations (Fourth Edition),Mathematics 2014
Film Processing (Second Edition),Plastics Engineering Hanser 2014
Evidence-Based Treatment for Children with Autism,Psychology 2014
Library Instruction Design,Social Sciences 2014
Radical Information Literacy,Social Sciences 2014
The Evolution of the US–Japan Alliance,Social Sciences 2014
Business Continuity Programs,"Forensics, Security, and Criminal Justice 2014"
Distillation: Fundamentals and Principles,Chemical Engineering 2014
Reactor and Process Design in Sustainable Energy Technology,Chemical Engineering 2014
Sustainability Science,Earth and Planetary Sciences 2014
Coal Power Plant Materials and Life Assessment,Energy 2014
Principles of Reinforced Concrete,Engineering 2014
Advanced Topics in Forensic DNA Typing: Interpretation,"Forensics, Security, and Criminal Justice 2014"
Security Risk Assessment,"Forensics, Security, and Criminal Justice 2014"
"Autophagy: Cancer, Other Pathologies, Inflammation, Immunity, Infection, and Aging: Volume 4",Immunology and Microbiology 2014
Physical Metallurgy (Fifth Edition),Materials Science 2014
Superconductivity (Third Edition),Physics and Astronomy 2014
Échographie endovaginale Doppler - 3D,Elsevier Masson French Health Sciences Collection 2014
Esthetic Dentistry,Health Professions 2014
Dental Secrets,Health Professions 2014
"Computer-Guided Applications for Dental Implants, Bone Grafting, and Reconstructive Surgery (adapted translation)",Health Professions 2014
Evidence-Based Physical Therapy for the Pelvic Floor,Health Professions 2014
The Complete Guide to Geriatric Rehabilitation,Health Professions 2014
Management of Chronic Musculoskeletal Conditions in the Foot and Lower Leg,Health Professions 2014
Acupuncture for IVF and Assisted Reproduction,Health Professions 2014
Skeletal Anchorage in Orthodontic Treatment of Class II Malocclusion,Health Professions 2014
Principles and Practice of Esthetic Dentistry,Health Professions 2014
Atlas of Oral and Maxillofacial Surgery,Health Professions 2014
Faus - Búsquedas bibliográficas en bases de datos,Spanish Medical Collection 2014
Vizmanos - Claves de la genética de poblaciones,Spanish Medical Collection 2014
Brito Brito - Diagnóstico psicosocial persp. enf.,Spanish Medical Collection 2014
Skeletal Trauma in Children,Specialty Medicine 2014
A Manual of Orthopaedic Terminology,Specialty Medicine 2014
Twining's Textbook of Fetal Abnormalities,Specialty Medicine 2014
Glaucoma,Specialty Medicine 2014
Transplantation of the Liver,Specialty Medicine 2014
Sleep Medicine Pearls,Specialty Medicine 2014
Handbook of Veterinary Pain Management,Veterinary Medicine 2014
Saunders Equine Formulary,Veterinary Medicine 2014
Small Animal Diagnostic Ultrasound,Veterinary Medicine 2014
Contemporary Insect Diagnostics,"Agricultural, Biological, and Food Sciences 2014"
Crop Physiology,"Agricultural, Biological, and Food Sciences 2014"
Marine Faunal Diversity in India,"Agricultural, Biological, and Food Sciences 2014"
Heat Treatment for Insect Control,"Agricultural, Biological, and Food Sciences 2014"
High Throughput Screening for Food Safety Assessment,"Agricultural, Biological, and Food Sciences 2014"
Handbook of Food Allergen Detection and Control,"Agricultural, Biological, and Food Sciences 2014"
Advances in Fermented Foods and Beverages,"Agricultural, Biological, and Food Sciences 2014"
Dietary Supplements,"Agricultural, Biological, and Food Sciences 2014"
Metabolomics as a Tool in Nutritional Research,"Agricultural, Biological, and Food Sciences 2014"
Managing and Preventing Obesity,"Agricultural, Biological, and Food Sciences 2014"
Electron Beam Pasteurization and Complementary Food Processing Technologies,"Agricultural, Biological, and Food Sciences 2014"
"Flavour Development, Analysis and Perception in Food and Beverages","Agricultural, Biological, and Food Sciences 2014"
Rapid Sensory Profiling Techniques,"Agricultural, Biological, and Food Sciences 2014"
Fed-Batch Fermentation,"Agricultural, Biological, and Food Sciences 2014"
Boorman's Pathology of the Rat,"Biochemistry, Genetics and Molecular Biology 2014"
Stem Cell Biology and Tissue Engineering in Dental Sciences,"Biochemistry, Genetics and Molecular Biology 2014"
"Molecular Medical Microbiology, Three-Volume Set","Biochemistry, Genetics and Molecular Biology 2014"
Knobil and Neill's Physiology of Reproduction,"Biochemistry, Genetics and Molecular Biology 2014"
Translational Systems Biology,"Biochemistry, Genetics and Molecular Biology 2014"
Molecular Biology of B Cells,"Biochemistry, Genetics and Molecular Biology 2014"
Clinical Genomics,"Biochemistry, Genetics and Molecular Biology 2014"
Micro RNA in Regenerative Medicine,"Biochemistry, Genetics and Molecular Biology 2014"
Cord Blood Stem Cells and Regenerative Medicine,"Biochemistry, Genetics and Molecular Biology 2014"
Functional Metagenomic Methods,"Biochemistry, Genetics and Molecular Biology 2014"
"Channels, Carriers, and Pumps","Biochemistry, Genetics and Molecular Biology 2014"
Sertoli Cell Biology,"Biochemistry, Genetics and Molecular Biology 2014"
DNA Methylation and Complex Human Disease,"Biochemistry, Genetics and Molecular Biology 2014"
An Introduction to Biotechnology,"Biochemistry, Genetics and Molecular Biology 2014"
Hormones,Biomedical Science and Medicine 2014
GERD,Biomedical Science and Medicine 2014
Diet and Nutrition in Dementia and Cognitive Decline,Biomedical Science and Medicine 2014
The Mediterranean Diet,Biomedical Science and Medicine 2014
Coffee in Health and Disease Prevention,Biomedical Science and Medicine 2014
Translational Regenerative Medicine,Biomedical Science and Medicine 2014
Chronic Renal Disease,Biomedical Science and Medicine 2014
Success is What You Leave Behind,Biomedical Science and Medicine 2014
The Lung,Biomedical Science and Medicine 2014
Key Productivity and Performance Strategies to Advance Your STEM Career,Biomedical Science and Medicine 2014
Inflammation in Heart Failure,Biomedical Science and Medicine 2014
Glucose Intake and Utilization in Pre-Diabetes and Diabetes,Biomedical Science and Medicine 2014
Human Chorionic Gonadotropin (hGC),Biomedical Science and Medicine 2014
The Science of Fitness,Biomedical Science and Medicine 2014
Regulatory Affairs for Biomaterials and Medical Devices,Biomedical Science and Medicine 2014
Translational Biology in Medicine,Biomedical Science and Medicine 2014
Imported Infectious Diseases,Biomedical Science and Medicine 2014
"Handbook of Flotation Reagents: Chemistry, Theory and Practice",Chemical Engineering 2014
Electrochemical Energy Storage for Renewable Sources and Grid Balancing,Chemical Engineering 2014
Integrated Design and Simulation of Chemical Processes,Chemical Engineering 2014
Recent Advances in Thermo-chemical Conversion of Biomass,Chemical Engineering 2014
Best Synthetic Methods: ORGANOPHOSPHORUS (V) CHEMISTRY,Chemistry 2014
Progress in Heterocyclic Chemistry,Chemistry 2014
Instrumental Thin-Layer Chromatography,Chemistry 2014
Globally Harmonized System of Classification and Labelling of Chemicals,Chemistry 2014
Priority Pollutants Monitoring in Water,Chemistry 2014
Syngress Hacking and Penetration Testing 2,Computer Science 2014
Syngress Hacking and Penetration Testing 4,Computer Science 2014
"Emerging Trends in Image Processing, Computer Vision and Pattern Recognition",Computer Science 2014
Social Data Analytics,Computer Science 2014
The Data to Dollars™ Value Chain,Computer Science 2014
Thor's OS Xodus,Computer Science 2014
Business Intelligence Guidebook,Computer Science 2014
There's Not an App for That,Computer Science 2014
Securing VOIP,Computer Science 2014
Multicore and GPU Programming,Computer Science 2014
Sharing Data and Models in Software Engineering,Computer Science 2014
RIOT Control,Computer Science 2014
Industrial Network Security,Computer Science 2014
CSA Guide to Cloud Computing,Computer Science 2014
Communicating UX Vision,Computer Science 2014
RDF Database Systems,Computer Science 2014
The Business Process Management Handbook,Computer Science 2014
Writing Successful UX Proposals,Computer Science 2014
Interaction Flow Modeling Language,Computer Science 2014
Detecting and Combating Malicious Email,Computer Science 2014
A Practical Guide to SysML,Computer Science 2014
Information Security Analytics,Computer Science 2014
"Augmented Reality Law, Privacy, and Ethics",Computer Science 2014
Guerrilla Analytics,Computer Science 2014
Evaluating and Designing for Domestic Life,Computer Science 2014
Full-System Simulation with Simics,Computer Science 2014
Digital Integrated Circuit Design,Computer Science 2014
Breaking into Information Security,Computer Science 2014
Computational Network Science,Computer Science 2014
Designing and Building  Security Operations Center,Computer Science 2014
Oracle Databases on Amazon Web Services,Computer Science 2014
Networks-on-Chip,Computer Science 2014
Mastering Nexpose and Metasploit,Computer Science 2014
Securing SQL Server,Computer Science 2014
"Cyber Reconnaissance, Surveillance and Defense",Computer Science 2014
Refactoring for Software Design Smells,Computer Science 2014
Securing Mobile Ad Hoc Networks,Computer Science 2014
Heterogeneous Computing with OpenCL 2.0,Computer Science 2014
Commonsense Reasoning,Computer Science 2014
Predictive Analytics and Data Mining,Computer Science 2014
Optimized Cloud Resource Management and Scheduling,Computer Science 2014
Enterprise Business Intelligence and Data Warehousing,Computer Science 2014
PCI Compliance,Computer Science 2014
Soil Reinforcement for Anchor Plates and Uplift Response,Earth and Planetary Sciences 2014
"Hydro-Meteorological Hazards, Risks and Disasters",Earth and Planetary Sciences 2014
"Snow and Ice-Related Hazards, Risks and Disasters",Earth and Planetary Sciences 2014
"Hazards, Risks and Disasters in Society",Earth and Planetary Sciences 2014
"Landslide Hazards, Risks and Disasters",Earth and Planetary Sciences 2014
"Volcanic Hazards, Risks and Disasters",Earth and Planetary Sciences 2014
Structural Geology,Earth and Planetary Sciences 2014
"Wildfire Hazards, Risks and Disasters",Earth and Planetary Sciences 2014
Geoethics,Earth and Planetary Sciences 2014
"The Tide-Dominated Han River Delta, Korea",Earth and Planetary Sciences 2014
Darriwilian to Sandbian (Ordovician) Graptolites from Northwest China,Earth and Planetary Sciences 2014
Earth and Life Processes Discovered from Subseafloor Environment,Earth and Planetary Sciences 2014
Integrated Sand Management For Effective Hydrocarbon Flow Assurance,Earth and Planetary Sciences 2014
Principles and Dynamics of the Critical Zone,Earth and Planetary Sciences 2014
Dictionary of Energy,Energy 2014
Bioenergy,Energy 2014
Green Building Technology Guide: Vol III Building Systems,Energy 2014
Green Building Technology Guide: Vol II Energy Systems,Energy 2014
Combustion,Energy 2014
Energy Storage Devices for Electronic Systems,Energy 2014
Green Building Technology Guide: Vol I Materials,Energy 2014
Energy Storage for Smart Grids,Energy 2014
Alternative Energy in Power Electronics,Energy 2014
Mechanics of Hydraulic Fracturing,Energy 2014
The Guide to Oilwell Fishing Operations,Energy 2014
Unconventional Gas Reservoirs,Energy 2014
Casing and Liners for Drilling and Completion,Energy 2014
Crude Oil Fouling,Energy 2014
Gasification for Synthetic Fuel Production,Energy 2014
Handbook of Small Modular Nuclear Reactors,Energy 2014
Advances in Batteries for Medium and Large-Scale Energy Storage,Energy 2014
Advances in Thermal Energy Storage Systems,Energy 2014
"Palladium Membrane Technology for Hydrogen Production, Carbon Capture and Other Applications",Energy 2014
Subsea and Deepwater Oil and Gas Handbook,Energy 2014
Nanostructured Polymer Blends,Engineering 2014
The Multibody Systems Approach to Vehicle Dynamics,Engineering 2014
11th International Conference on Turbochargers and Turbocharging,Engineering 2014
Progress in Filtration and Separation,Engineering 2014
"Reliable Maintenance Planning, Estimating and Scheduling",Engineering 2014
Coastal Risk Assessment and Mitigation in a Changing Climate,Engineering 2014
Intelligent Vibration Control in Civil Engineering Structures,Engineering 2014
Digital Integrated Circuit Design Using Verilog and SystemVerilog,Engineering 2014
Structural Health Monitoring of Aerospace Composites,Engineering 2014
Implantable Electronic Medical Devices,Engineering 2014
Monolithic Nanoscale Photonics-Electronics Integration in Silicon and Other Group IV Elements,Engineering 2014
Modelling of chemical wear and its relevance to practice,Engineering 2014
Analog Circuit Design Volume Three,Engineering 2014
Wave Mechanics and Wave Loads on Marine Structures,Engineering 2014
Semi-Markov Processes: Applications in System Reliability and Maintenance,Engineering 2014
Household Service Robotics,Engineering 2014
Renewable Motor Fuels,Engineering 2014
Biodiesel Production Using Algal Technology,Engineering 2014
Embedded C Programming,Engineering 2014
Process Risk and Reliability Management,Engineering 2014
"Biopolymers: Products, Processing, and Applications",Engineering 2014
Emerging Nanotechnologies for Manufacturing,Engineering 2014
Plant Design and Operations,Engineering 2014
Adhesives Technology Handbook,Engineering 2014
Ludwig's Applied Process Design for Chemical and Petrochemical Plants,Engineering 2014
Braiding Technology for Textiles,Engineering 2014
Engineering Systems Acquisition and Support,Engineering 2014
Advances in Friction-Stir Welding and Processing,Engineering 2014
Functional Finishes for Textiles,Engineering 2014
Carbon Nanotube Reinforced Composites,Engineering 2014
"Fluoroplastics, Volume 1",Engineering 2014
Nanomaterials and Devices,Engineering 2014
Laser Surface Engineering,Engineering 2014
Parameter Identification and Monitoring of Mechanical Systems Under Nonlinear Vibration,Engineering 2014
"International Gear Conference 2014: 26th-28th August 2014, Lyon",Engineering 2014
Textiles and Fashion,Engineering 2014
Databook of Generic Solvents,Engineering 2014
Databook of Green Solvents,Engineering 2014
"Handbook of Antiblocking, Release, and Slip Additives",Engineering 2014
Freshwater Algae of North America,Environmental Science 2014
Stream Ecosystems in a Changing Environment,Environmental Science 2014
Biogeochemistry of Marine Dissolved Organic Matter,Environmental Science 2014
"Soil Microbiology, Ecology and Biochemistry",Environmental Science 2014
Natural Organic Matter in Water,Environmental Science 2014
Learning from the Impacts of Superstorm Sandy,Environmental Science 2014
Introduction to the Modelling of Marine Ecosystems,Environmental Science 2014
Estuarine Ecohydrology,Environmental Science 2014
Intermediate Financial Theory,Finance 2014
Principles of Financial Engineering,Finance 2014
Contemporary Financial Intermediation,Finance 2014
Public Finance,Finance 2014
Economics of Sustainable Development,Finance 2014
Hedge Fund Governance,Finance 2014
Finance,Finance 2014
Navigating the Business Loan,Finance 2014
"Innovation, Entrepreneurship, and the Economy in the US, China, and India",Finance 2014
Syngress Digital Forensics 4,"Forensics, Security, and Criminal Justice 2014"
School Security,"Forensics, Security, and Criminal Justice 2014"
Managing Online Risk,"Forensics, Security, and Criminal Justice 2014"
Integrated Security Systems Design,"Forensics, Security, and Criminal Justice 2014"
Google Earth Forensics,"Forensics, Security, and Criminal Justice 2014"
Business Continuity and Risk Management,"Forensics, Security, and Criminal Justice 2014"
Determining an Organization's Total Cost of Security,"Forensics, Security, and Criminal Justice 2014"
Smart Security: Understanding and Contributing to the Business,"Forensics, Security, and Criminal Justice 2014"
Your Personal Security,"Forensics, Security, and Criminal Justice 2014"
Toolbox for Developing Your Workplace Violence Prevention Program,"Forensics, Security, and Criminal Justice 2014"
Personnel Protection: Kidnapping Issues and Policies,"Forensics, Security, and Criminal Justice 2014"
The Basics of Digital Forensics,"Forensics, Security, and Criminal Justice 2014"
"Social Justice, Criminal Justice","Forensics, Security, and Criminal Justice 2014"
"Crime, Violence, and Global Warming","Forensics, Security, and Criminal Justice 2014"
Capitalism and Criminal Justice,"Forensics, Security, and Criminal Justice 2014"
Organized Crime,"Forensics, Security, and Criminal Justice 2014"
Key Terms and Concepts for Investigation,"Forensics, Security, and Criminal Justice 2014"
Geometries of Crime,"Forensics, Security, and Criminal Justice 2014"
DNA and Criminal Law,"Forensics, Security, and Criminal Justice 2014"
The Primary Immunodeficiency,Immunology and Microbiology 2014
Mucosal Immunology,Immunology and Microbiology 2014
Fluid Machinery Congress 6-7 October 2014,Materials Science 2014
Ion Beam Treatment of Polymers,Materials Science 2014
Shape Memory Alloy Engineering,Materials Science 2014
Ultrasmall lanthanide oxide nanoparticles for biomedical imaging and therapy,Materials Science 2014
Intelligent Coatings for Corrosion Control,Materials Science 2014
Micromechanism of Cleavage Fracture of Metals,Materials Science 2014
Developments in Surface Contamination and Cleaning,Materials Science 2014
Developments in Surface Contamination and Cleaning,Materials Science 2014
Anti-Abrasive Nanocoatings,Materials Science 2014
Polymer Composites in the Aerospace Industry,Materials Science 2014
